,LSTM-GAN
MSE,0.12598112237098485
MAE,0.12598112237098485
Wasserstein,0.23226593278278074
KL Divergence,3.106839504145678
JS Divergence,0.1737785869632671
ACF MSE,0.17112538256237042
Cross-Correlation MSE,0.04437267577321651
Volatility ACF MSE,0.019580264123140973
