,LSTM-GAN,TCN-GAN
MSE,0.03112300363898348,0.1750916033210882
MAE,0.03112300363898348,0.1750916033210882
Wasserstein,0.06379249637945389,0.221031639954653
KL Divergence,0.5894594855926842,0.8647091020387802
JS Divergence,0.176760040045729,0.24644983792856318
ACF MSE,0.12277033945017975,0.08512242508391774
Cross-Correlation MSE,0.4150602561052634,0.4523534456835746
Volatility ACF MSE,0.06307885327155188,0.0633070264005759
Arbitrage Violation Rate,1.0,0.996875
