,LSTM-GAN
MSE,0.4572580175518262
MAE,0.4572580175518262
Wasserstein,0.5298436659203558
KL Divergence,9.585515746072616
JS Divergence,0.3927043013965804
ACF MSE,0.02728261772754719
Cross-Correlation MSE,0.07004378820874704
Volatility ACF MSE,0.014954926429336666
