,TCN-GAN
MSE,0.020799493990760018
MAE,0.11234512365989234
Wasserstein,0.040411844876241346
KL Divergence,0.4982315763606682
JS Divergence,0.08777737524856981
ACF MSE,
Cross-Correlation MSE,0.534636757556746
Volatility ACF MSE,
Arbitrage Violation Rate,1.0
