,LSTM-GAN
MSE,0.08698639042598472
MAE,0.08698639042598472
Wasserstein,0.04257114994669056
KL Divergence,0.5551183937625878
JS Divergence,0.02960794687119782
ACF MSE,0.04346620098450478
Cross-Correlation MSE,0.03890429981153854
Volatility ACF MSE,0.024464352094910945
