,LSTM-GAN
MSE,0.2946973502409526
MAE,0.2946973502409526
Wasserstein,0.21244743120759857
KL Divergence,0.437222716292752
JS Divergence,0.1031687475234816
ACF MSE,0.04812713133487227
Cross-Correlation MSE,0.05434390630109157
Volatility ACF MSE,0.02506788464469935
