,LSTM-GAN,TCN-GAN
MSE,0.0019421748681126372,0.03391250909062127
MAE,0.03460309699355586,0.14302170830955604
Wasserstein,0.014140755519780536,0.05570441613920006
KL Divergence,0.11165979112029831,0.37668298119015975
JS Divergence,0.033168818214342456,0.10475674610626141
ACF MSE,,
Cross-Correlation MSE,0.4224392729257115,0.4262429298314207
Volatility ACF MSE,,
Arbitrage Violation Rate,1.0,1.0
