date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2020-01-02,8872.2197265625,7100.0,0.8,30,0.0821917808219178,0.77,0.21757102840266002,1.0,put
2020-01-02,8872.2197265625,7100.0,0.8,60,0.1643835616438356,8.1,0.2151088957407502,3.0,put
2020-01-02,8872.2197265625,7100.0,0.8,90,0.2465753424657534,20.75,0.21263329264115474,1.0,put
2020-01-02,8872.2197265625,7100.0,0.8,120,0.3287671232876712,585.0,0.2101780460321862,1.0,put
2020-01-02,8872.2197265625,7100.0,0.8,150,0.410958904109589,585.0,0.2077893687361672,1.0,put
2020-01-02,8872.2197265625,7100.0,0.8,180,0.4931506849315068,85.1,0.20552766243593917,2.0,put
2020-01-02,8872.2197265625,7100.0,0.8,360,0.9863013698630136,282.65,0.2254405779595909,1.0,put
2020-01-02,8872.2197265625,7550.0,0.85,30,0.0821917808219178,1.4,0.20799749349936644,1.0,put
2020-01-02,8872.2197265625,7550.0,0.85,60,0.1643835616438356,15.29,0.20606353122645665,1.0,put
2020-01-02,8872.2197265625,7550.0,0.85,90,0.2465753424657534,36.5,0.2041261670242556,1.0,put
2020-01-02,8872.2197265625,7550.0,0.85,120,0.3287671232876712,585.0,0.20221308934688675,1.0,put
2020-01-02,8872.2197265625,7550.0,0.85,150,0.410958904109589,585.0,0.20036154757939137,1.0,put
2020-01-02,8872.2197265625,7550.0,0.85,180,0.4931506849315068,85.1,0.19861959518618844,2.0,put
2020-01-02,8872.2197265625,7550.0,0.85,360,0.9863013698630136,282.65,0.2254405779595909,1.0,put
2020-01-02,8872.2197265625,7975.0,0.9,30,0.0821917808219178,3.65,0.1994053199032417,1.0,put
2020-01-02,8872.2197265625,7975.0,0.9,60,0.1643835616438356,31.36,0.19792881027132292,1.0,put
2020-01-02,8872.2197265625,7975.0,0.9,90,0.2465753424657534,71.33,0.196457458030304,5.0,put
2020-01-02,8872.2197265625,7975.0,0.9,120,0.3287671232876712,585.0,0.19501368560208612,1.0,put
2020-01-02,8872.2197265625,7975.0,0.9,150,0.410958904109589,585.0,0.19362702819641878,1.0,put
2020-01-02,8872.2197265625,7975.0,0.9,180,0.4931506849315068,223.22,0.19233489047252914,1.0,put
2020-01-02,8872.2197265625,7975.0,0.9,360,0.9863013698630136,328.15,0.21953797046354387,1.0,put
2020-01-02,8872.2197265625,8425.0,0.95,30,0.0821917808219178,19.73,0.19167572302947514,9.0,put
2020-01-02,8872.2197265625,8425.0,0.95,60,0.1643835616438356,77.3,0.19059312051467645,1.0,put
2020-01-02,8872.2197265625,8425.0,0.95,90,0.2465753424657534,119.85,0.18952316180871007,27.0,put
2020-01-02,8872.2197265625,8425.0,0.95,120,0.3287671232876712,585.0,0.1884837272526389,1.0,put
2020-01-02,8872.2197265625,8425.0,0.95,150,0.410958904109589,585.0,0.18749766043935542,1.0,put
2020-01-02,8872.2197265625,8425.0,0.95,180,0.4931506849315068,229.17,0.18659310211586883,1.0,put
2020-01-02,8872.2197265625,8425.0,0.95,360,0.9863013698630136,554.28,0.19689738873821017,1.0,put
2020-01-02,8872.2197265625,8870.0,1.0,30,0.0821917808219178,94.43,0.18468051171435215,1.0,put
2020-01-02,8872.2197265625,8870.0,1.0,60,0.1643835616438356,184.1,0.1839360317373121,5.0,put
2020-01-02,8872.2197265625,8870.0,1.0,90,0.2465753424657534,276.1,0.18321098040986977,1.0,put
2020-01-02,8872.2197265625,8870.0,1.0,120,0.3287671232876712,585.0,0.182519292935606,1.0,put
2020-01-02,8872.2197265625,8870.0,1.0,150,0.410958904109589,585.0,0.18187794849780384,1.0,put
2020-01-02,8872.2197265625,8870.0,1.0,180,0.4931506849315068,349.67,0.18130693432535275,1.0,put
2020-01-02,8872.2197265625,8870.0,1.0,360,0.9863013698630136,618.21,0.19413565939527203,3.0,put
2020-01-02,8872.2197265625,9325.0,1.05,30,0.0821917808219178,1.05,0.17829146622468153,1.0,call
