,LSTM-GAN
MSE,0.17857823108824797
MAE,0.17857823108824797
Wasserstein,0.34349617527155263
KL Divergence,6.532527532734746
JS Divergence,0.320666986537349
ACF MSE,0.12269121211705479
Cross-Correlation MSE,0.0411962653708114
Volatility ACF MSE,0.02225804092537631
