contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251117P23700000,2025-11-14 21:07:35+00:00,23700.0,3.58,2.45,3.6,-13.530001,-79.07656,35.0,8.0,0.34003345520019534,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23710000,2025-11-14 20:53:22+00:00,23710.0,4.8,2.5,3.7,-5.5999994,-53.84615,11.0,0.0,0.33908741973876955,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23720000,2025-11-14 21:05:12+00:00,23720.0,4.1,2.6,3.7,-6.5000005,-61.32076,32.0,0.0,0.3367681069946289,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23730000,2025-11-14 21:04:46+00:00,23730.0,4.15,2.65,3.8,-12.700001,-75.370926,34.0,0.0,0.33576103698730464,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23740000,2025-11-14 15:33:28+00:00,23740.0,11.05,2.7,3.8,-7.339999,-39.912994,4.0,2.0,0.3334569828796387,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23750000,2025-11-14 20:40:37+00:00,23750.0,5.02,2.8,3.9,-6.68,-57.094013,23.0,0.0,0.3324041369628906,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23760000,2025-11-14 20:46:05+00:00,23760.0,5.0,2.45,3.9,0.0,0.0,1.0,0.0,0.33008482421874996,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23770000,2025-11-14 16:43:02+00:00,23770.0,4.78,2.95,4.1,-22.22,-82.296295,9.0,0.0,0.33020689331054687,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23780000,2025-11-14 14:45:17+00:00,23780.0,24.0,2.6,4.2,5.5300007,29.94045,1.0,1.0,0.3290472369384765,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23790000,2025-11-14 20:59:54+00:00,23790.0,4.6,3.1,4.3,-16.4,-78.09523,7.0,1.0,0.327857063293457,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23800000,2025-11-14 21:07:35+00:00,23800.0,4.33,3.2,4.4,-4.5200005,-51.07345,35.0,3.0,0.3266516310119629,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23810000,2025-11-14 18:48:34+00:00,23810.0,10.55,3.2,4.3,5.99,131.35963,4.0,0.0,0.3231574032592772,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23820000,2025-11-14 21:05:12+00:00,23820.0,5.1,2.9,4.5,0.0,0.0,30.0,0.0,0.3230353341674803,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23830000,2025-11-14 21:04:46+00:00,23830.0,5.15,3.4,4.6,-3.85,-42.77778,30.0,1.0,0.32175360870361325,False,REGULAR,USD,2025-11-17,^NDX,puts
NDXP251117P23840000,2025-11-14 16:46:04+00:00,23840.0,6.03,3.1,4.7,0.0,0.0,1.0,0.0,0.32044136596679684,False,REGULAR,USD,2025-11-17,^NDX,puts
