date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2021-01-04,12694.66015625,10150.0,0.8,30,0.0821917808219178,52.15,0.3579664446680909,3.0,put
2021-01-04,12694.66015625,10150.0,0.8,60,0.1643835616438356,52.15,0.3547848779069828,3.0,put
2021-01-04,12694.66015625,10150.0,0.8,90,0.2465753424657534,174.81,0.35155467354518133,8.0,put
2021-01-04,12694.66015625,10150.0,0.8,120,0.3287671232876712,210.75,0.34830006731938046,13.0,put
2021-01-04,12694.66015625,10150.0,0.8,150,0.410958904109589,210.75,0.3450543072440999,13.0,put
2021-01-04,12694.66015625,10150.0,0.8,180,0.4931506849315068,,0.341860658426857,0.0,put
2021-01-04,12694.66015625,10150.0,0.8,360,0.9863013698630136,265.2,0.43784249851542933,1.0,put
2021-01-04,12694.66015625,10800.0,0.85,30,0.0821917808219178,105.3,0.3392192258499756,2.0,put
2021-01-04,12694.66015625,10800.0,0.85,60,0.1643835616438356,105.3,0.3365322845566726,2.0,put
2021-01-04,12694.66015625,10800.0,0.85,90,0.2465753424657534,242.66,0.33380059611796453,1.0,put
2021-01-04,12694.66015625,10800.0,0.85,120,0.3287671232876712,210.75,0.3310459183680417,13.0,put
2021-01-04,12694.66015625,10800.0,0.85,150,0.410958904109589,210.75,0.3282979427530347,13.0,put
2021-01-04,12694.66015625,10800.0,0.85,180,0.4931506849315068,,0.3255950951185111,0.0,put
2021-01-04,12694.66015625,10800.0,0.85,360,0.9863013698630136,958.18,0.36346577008093156,3.0,put
2021-01-04,12694.66015625,11450.0,0.9,30,0.0821917808219178,123.24,0.322570104676968,2.0,put
2021-01-04,12694.66015625,11450.0,0.9,60,0.1643835616438356,123.24,0.32027005655919055,2.0,put
2021-01-04,12694.66015625,11450.0,0.9,90,0.2465753424657534,365.6,0.31792775760151293,1.0,put
2021-01-04,12694.66015625,11450.0,0.9,120,0.3287671232876712,210.75,0.315562795799253,13.0,put
2021-01-04,12694.66015625,11450.0,0.9,150,0.410958904109589,210.75,0.3132017804052233,13.0,put
2021-01-04,12694.66015625,11450.0,0.9,180,0.4931506849315068,,0.31087897033979084,0.0,put
2021-01-04,12694.66015625,11450.0,0.9,360,0.9863013698630136,958.18,0.36346577008093156,3.0,put
2021-01-04,12694.66015625,12050.0,0.95,30,0.0821917808219178,279.9,0.30778529489664264,2.0,put
2021-01-04,12694.66015625,12050.0,0.95,60,0.1643835616438356,279.9,0.3057832268109042,2.0,put
2021-01-04,12694.66015625,12050.0,0.95,90,0.2465753424657534,513.09,0.3037404008031452,1.0,put
2021-01-04,12694.66015625,12050.0,0.95,120,0.3287671232876712,210.75,0.3016744661694408,13.0,put
2021-01-04,12694.66015625,12050.0,0.95,150,0.410958904109589,210.75,0.2996093078347195,13.0,put
2021-01-04,12694.66015625,12050.0,0.95,180,0.4931506849315068,,0.2975755284359045,0.0,put
2021-01-04,12694.66015625,12050.0,0.95,360,0.9863013698630136,958.18,0.36346577008093156,3.0,put
2021-01-04,12694.66015625,12690.0,1.0,30,0.0821917808219178,482.5,0.2946162996453427,1.0,put
2021-01-04,12694.66015625,12690.0,1.0,60,0.1643835616438356,482.5,0.292840899590974,1.0,put
2021-01-04,12694.66015625,12690.0,1.0,90,0.2465753424657534,458.0,0.2910255341488172,1.0,put
2021-01-04,12694.66015625,12690.0,1.0,120,0.3287671232876712,210.75,0.2891860783507352,13.0,put
2021-01-04,12694.66015625,12690.0,1.0,150,0.410958904109589,210.75,0.28734395136244667,13.0,put
2021-01-04,12694.66015625,12690.0,1.0,180,0.4931506849315068,,0.28552647371906065,0.0,put
2021-01-04,12694.66015625,12690.0,1.0,360,0.9863013698630136,1309.14,0.39754505589209466,6.0,put
2021-01-04,12694.66015625,13325.0,1.05,30,0.0821917808219178,225.4,0.28283402729167423,2.0,call
2021-01-04,12694.66015625,13325.0,1.05,60,0.1643835616438356,225.4,0.2812290385506272,2.0,call
2021-01-04,12694.66015625,13325.0,1.05,90,0.2465753424657534,518.0,0.27958439467870444,3.0,call
2021-01-04,12694.66015625,13325.0,1.05,120,0.3287671232876712,578.85,0.27791430839806863,1.0,call
2021-01-04,12694.66015625,13325.0,1.05,150,0.410958904109589,578.85,0.27623791461564634,1.0,call
2021-01-04,12694.66015625,13325.0,1.05,180,0.4931506849315068,980.0,0.27457952088487975,1.0,call
2021-01-04,12694.66015625,13325.0,1.05,360,0.9863013698630136,707.33,0.15784156745716577,37.0,call
2021-01-04,12694.66015625,13975.0,1.1,30,0.0821917808219178,37.34,0.27224345874550215,45.0,call
2021-01-04,12694.66015625,13975.0,1.1,60,0.1643835616438356,37.34,0.27076480921477786,45.0,call
2021-01-04,12694.66015625,13975.0,1.1,90,0.2465753424657534,518.0,0.26924648126197087,3.0,call
2021-01-04,12694.66015625,13975.0,1.1,120,0.3287671232876712,265.15,0.26770109968941763,1.0,call
2021-01-04,12694.66015625,13975.0,1.1,150,0.410958904109589,265.15,0.266145641832924,1.0,call
2021-01-04,12694.66015625,13975.0,1.1,180,0.4931506849315068,980.0,0.26460159692343116,1.0,call
2021-01-04,12694.66015625,13975.0,1.1,360,0.9863013698630136,707.33,0.15784156745716577,37.0,call
2021-01-04,12694.66015625,14600.0,1.15,30,0.0821917808219178,8.5,0.2626867277945932,1.0,call
2021-01-04,12694.66015625,14600.0,1.15,60,0.1643835616438356,8.5,0.26129987077088856,1.0,call
2021-01-04,12694.66015625,14600.0,1.15,90,0.2465753424657534,48.8,0.25987307556659434,5.0,call
2021-01-04,12694.66015625,14600.0,1.15,120,0.3287671232876712,265.15,0.2584174295664372,1.0,call
2021-01-04,12694.66015625,14600.0,1.15,150,0.410958904109589,265.15,0.25694784411177995,1.0,call
2021-01-04,12694.66015625,14600.0,1.15,180,0.4931506849315068,980.0,0.2554831367942152,1.0,call
2021-01-04,12694.66015625,14600.0,1.15,360,0.9863013698630136,418.1,0.147668282025713,1.0,call
2021-01-04,12694.66015625,15400.0,1.2,30,0.0821917808219178,4.6,0.25404041481375944,1.0,call
2021-01-04,12694.66015625,15400.0,1.2,60,0.1643835616438356,4.6,0.25271810113334003,1.0,call
2021-01-04,12694.66015625,15400.0,1.2,90,0.2465753424657534,48.8,0.25135541374208653,5.0,call
2021-01-04,12694.66015625,15400.0,1.2,120,0.3287671232876712,265.15,0.2499619408003264,1.0,call
2021-01-04,12694.66015625,15400.0,1.2,150,0.410958904109589,265.15,0.24855060032948417,1.0,call
2021-01-04,12694.66015625,15400.0,1.2,180,0.4931506849315068,980.0,0.24713765835026247,1.0,call
2021-01-04,12694.66015625,15400.0,1.2,360,0.9863013698630136,418.1,0.147668282025713,1.0,call
2021-01-05,12802.3798828125,10250.0,0.8,30,0.0821917808219178,38.25,0.3824225911616237,15.0,put
2021-01-05,12802.3798828125,10250.0,0.8,60,0.1643835616438356,101.15,0.3810956359264477,4.0,put
2021-01-05,12802.3798828125,10250.0,0.8,90,0.2465753424657534,148.45,0.38011625827382006,16.0,put
2021-01-05,12802.3798828125,10250.0,0.8,120,0.3287671232876712,110.95,0.37951855740222684,1.0,put
2021-01-05,12802.3798828125,10250.0,0.8,150,0.410958904109589,110.95,0.3793209272789739,1.0,put
2021-01-05,12802.3798828125,10250.0,0.8,180,0.4931506849315068,465.22,0.3795166363513108,6.0,put
2021-01-05,12802.3798828125,10250.0,0.8,360,0.9863013698630136,419.45,0.4112655059727439,6.0,put
2021-01-05,12802.3798828125,10900.0,0.85,30,0.0821917808219178,90.72,0.3649293898139012,1.0,put
2021-01-05,12802.3798828125,10900.0,0.85,60,0.1643835616438356,149.04,0.3641663765976606,5.0,put
2021-01-05,12802.3798828125,10900.0,0.85,90,0.2465753424657534,189.26,0.36373078762299194,5.0,put
2021-01-05,12802.3798828125,10900.0,0.85,120,0.3287671232876712,110.95,0.3636577460436323,1.0,put
2021-01-05,12802.3798828125,10900.0,0.85,150,0.410958904109589,110.95,0.3639705477914817,1.0,put
2021-01-05,12802.3798828125,10900.0,0.85,180,0.4931506849315068,465.22,0.3646724148825854,6.0,put
2021-01-05,12802.3798828125,10900.0,0.85,360,0.9863013698630136,419.45,0.4112655059727439,6.0,put
2021-01-05,12802.3798828125,11525.0,0.9,30,0.0821917808219178,144.93,0.3481732659156162,1.0,put
