strike_0.8_maturity_30,strike_0.8_maturity_60,strike_0.8_maturity_90,strike_0.8_maturity_120,strike_0.8_maturity_150,strike_0.8_maturity_180,strike_0.8_maturity_360,strike_0.85_maturity_30,strike_0.85_maturity_60,strike_0.85_maturity_90,strike_0.85_maturity_120,strike_0.85_maturity_150,strike_0.85_maturity_180,strike_0.85_maturity_360,strike_0.9_maturity_30,strike_0.9_maturity_60,strike_0.9_maturity_90,strike_0.9_maturity_120,strike_0.9_maturity_150,strike_0.9_maturity_180,strike_0.9_maturity_360,strike_0.95_maturity_30,strike_0.95_maturity_60,strike_0.95_maturity_90,strike_0.95_maturity_120,strike_0.95_maturity_150,strike_0.95_maturity_180,strike_0.95_maturity_360,strike_1.0_maturity_30,strike_1.0_maturity_60,strike_1.0_maturity_90,strike_1.0_maturity_120,strike_1.0_maturity_150,strike_1.0_maturity_180,strike_1.0_maturity_360,strike_1.05_maturity_30,strike_1.05_maturity_60,strike_1.05_maturity_90,strike_1.05_maturity_120,strike_1.05_maturity_150,strike_1.05_maturity_180,strike_1.05_maturity_360,strike_1.1_maturity_30,strike_1.1_maturity_60,strike_1.1_maturity_90,strike_1.1_maturity_120,strike_1.1_maturity_150,strike_1.1_maturity_180,strike_1.1_maturity_360,strike_1.15_maturity_30,strike_1.15_maturity_60,strike_1.15_maturity_90,strike_1.15_maturity_120,strike_1.15_maturity_150,strike_1.15_maturity_180,strike_1.15_maturity_360,strike_1.2_maturity_30,strike_1.2_maturity_60,strike_1.2_maturity_90,strike_1.2_maturity_120,strike_1.2_maturity_150,strike_1.2_maturity_180,strike_1.2_maturity_360
-1.2267356251064767,-1.0547263913377949,-1.2363122893031264,-1.1147934759796998,-1.2411810700306258,-1.2404110674695865,-1.2105842203142003,-1.2998322675429108,-1.1448740405210363,-1.3062368143853675,-1.1554385693937144,-1.3063124598533535,-1.3024442513326948,-1.2622329785708717,-1.3704647681216804,-1.2808880638188405,-1.3744004728120276,-1.20282344255477,-1.3708484496943127,-1.3646862907911192,-1.3179160204581937,-1.4378586827262319,-1.3054372340863731,-1.4401594828347404,-1.1552486978859229,-1.4343193341489702,-1.4267658205544558,-1.3774427074525735,-1.5017175412058654,-1.3978067647345074,-1.5032946239923208,-1.140162465521343,-1.4966011145195472,-1.4886094841916673,-1.4407941168288145,-1.5620645764114354,-2.3759402782326897,-1.5638653638083484,-2.431899195413209,-1.55779171667432,-1.5503341796638808,-1.5081004909609963,-1.6190780923194288,-2.3293484796018276,-1.6220582552163898,-2.367497748185154,-1.6180802904607954,-1.6121304051881973,-1.5795912051017722,-1.6729482692852589,-2.2616289997970944,-1.6780522926456265,-2.390484943814017,-1.6776251969683598,-1.67414818841969,-1.655518497763137,-1.7237643498114974,-2.2616289997970944,-1.7319070890336712,-2.4170892549991696,-1.736442492745786,-1.7363850346457035,-1.7360462026290022
-1.4713298120034382,-1.4669975584714812,-1.4610538167701006,-1.45287197091977,-1.441639877977442,-1.4263870616987888,-1.2269476000792794,-1.4916976261427288,-1.487044828964832,-1.4806779582208216,-1.4719482101573558,-1.4600174474972165,-1.443888631124971,-1.2360847331186013,-1.513046156531952,-1.5080647545438752,-1.5012593223583224,-1.4919574422016575,-1.4792935075114968,-1.4622426818451522,-1.2456383123283932,-1.5351600376826946,-1.529845364464323,-1.522590360952444,-1.5126978021594994,-1.4992734243312773,-1.4812636756541677,-1.2555135979290415,-1.557780402508528,-1.5521316238032774,-1.544421251283759,-1.5339263586903324,-1.5197231915802802,-1.5007289355093631,-1.265599114735991,-1.5806164467833912,-1.574636844971194,-1.5664711062188668,-1.555370061364473,-1.5403800367593414,-1.5203888130328442,-1.2757719654369815,-1.6033608702208333,-1.5970579332061308,-1.5884429398199578,-1.5767403228252528,-1.5609664932635439,-1.539980098882382,-1.2859044581379362,-1.625707537533325,-1.6190928260117508,-1.610040772551757,-1.5977496535075761,-1.5812064016017269,-1.5592412012973664,-1.2958712906724204,-1.6473692294602267,-1.6404580198167213,-1.6309868060260364,-1.6181283319170665,-1.6008408958121085,-1.5779272453363054,-1.3055564241960436
-1.4706673511514368,-1.4647537007776148,-1.4578170860905002,-1.4494780633105104,-1.4392335517073773,-1.4264705612506703,-1.2808602807763425,-1.4978366611434095,-1.4909941811193164,-1.4830477709885563,-1.473600030719998,-1.462125784498209,-1.4479887207231206,-1.2917216904661677,-1.526207080653634,-1.5184061699042837,-1.5094139244196096,-1.498813831092811,-1.4860574113016771,-1.4704840448065133,-1.303066222006359,-1.5554684574254127,-1.5466920867036402,-1.5366312209077444,-1.5248492611039792,-1.5107734609666195,-1.4937181830077666,-1.3147806825905068,-1.5852509060079107,-1.5754968882441904,-1.5643604125080917,-1.5513840555736544,-1.5359701330549058,-1.5174075990243074,-1.326732317700132,-1.6151412634957063,-1.6044239271478318,-1.5922225568427617,-1.5780584398975852,-1.561308614298722,-1.5412365716671497,-1.3387751259409335,-1.6447052964715227,-1.6330562922904486,-1.6198194320656563,-1.6044945448798467,-1.586433398497329,-1.5648743030094845,-1.3507577267387745,-1.6735133639885025,-1.6609814062200545,-1.6467569909602762,-1.6303186210642893,-1.6109931425992412,-1.5879942761091914,-1.362531885657201,-1.701166441056592,-1.687815905556408,-1.6726690112819547,-1.6551833531678912,-1.634661518457096,-1.6102934992456501,-1.373960667841523
-1.040592918487466,-1.1217450061498875,-1.3051711668980568,-1.197816720434717,-1.3191866177331015,-1.3243956101445136,-1.2209212903633253,-1.2019310404498167,-1.2400320306939727,-1.3612133016009529,-1.197816720434717,-1.3721774805102747,-1.3755508208836553,-1.2531562142193717,-1.3726738586798737,-1.3591288660388685,-1.4146568029584525,-1.2430096811093294,-1.4231730994534357,-1.4251088589728278,-1.2872495622995497,-1.5589561388433721,-1.4484313399650284,-1.4655653887651376,-1.3089269900265827,-1.4722843626345448,-1.4731996088199135,-1.3233794878447422,-1.6848104957112104,-1.530503473658706,-1.5140477621776187,-1.3525961985508579,-1.5196516087459884,-1.5199749807252128,-1.3617518740774586,-2.2594962245575596,-2.2647128006268065,-1.5602654312262403,-2.3509815803988032,-1.5654552312021859,-1.5656210088171527,-1.402619635103983,-2.1425403972449804,-2.2664475783185645,-1.604416583334503,-2.3259208304458383,-1.6099040751893952,-1.6103488760495792,-1.4462943023096984,-1.9461785838054624,-2.2664475783185645,-1.6467064944340317,-2.32176091986717,-1.6532106182657327,-1.6543728929888346,-1.4931500342817616,-1.9461785838054624,-2.2664475783185645,-1.687312109374533,-2.32176091986717,-1.6955588150730863,-1.69788023871062,-1.5436169243582887
-1.0381539367470054,-1.3036657204676467,-1.295799563232464,-1.1536602108167406,-1.2667041280079854,-1.2435450860160366,-1.046363086049632,-1.202426369255454,-1.3649861296665975,-1.3547001038197417,-1.2708357032703352,-1.3188508744134049,-1.291185281635358,-1.061311132516687,-1.358389208042245,-1.4239788634355055,-1.4114985301869891,-1.2708357032703352,-1.3695192915585326,-1.3377373656517313,-1.0765192179054126,-1.5391347298615696,-1.4803647197530532,-1.4659818435184535,-1.3416077949603775,-1.4186592892855792,-1.3832438250559673,-1.0923338287983204,-2.356366172405452,-1.5342012788693435,-1.51824900742023,-2.9213475898628882,-1.4664695725832972,-1.4279590371320876,-1.109139737234116,-2.391832541086973,-1.5857935010042978,-1.5686272483537083,-2.432812384604724,-1.5133310539704672,-1.4722944791185293,-1.1273757155716935,-2.2257339875531947,-1.6356180490931382,-1.6176038846856284,-2.371389476378395,-1.5597593707077104,-1.5167844876310883,-1.147567912574421,-2.2257339875531947,-1.6842838264989586,-1.6657948754036203,-2.392987955818369,-1.6063948013501086,-1.5620894842000623,-1.1703937383613974,-2.2257339875531947,-1.7325432758685708,-1.7139646386458522,-2.392987955818369,-1.6540449366539094,-1.6090530964749166,-1.1968021180758666
-1.35625994072728,-1.312961027298449,-1.147853512312434,-1.1601686504358388,-1.318714990443703,-1.3169594335125383,-1.202978378659284,-1.35625994072728,-1.384098107681234,-1.3142124713848797,-1.220885959965455,-1.384822247766929,-1.3808142066530857,-1.2397117772070458,-1.35625994072728,-1.4513661995063774,-1.3142124713848797,-1.2852922974150989,-1.447583774152418,-1.441611394876962,-1.2763839980578668,-1.5755677188260644,-1.513900165123891,-1.3895193799320786,-1.3536014009965938,-1.5063630937245525,-1.4988070154946853,-1.3131470323473156,-2.427656314072112,-1.5715067740299131,-2.624973238203913,-2.449269727858495,-1.561094473299327,-1.5523825611919115,-1.3503097876590604,-2.363829900711862,-1.6244509217940755,-2.4021768583077665,-2.2885738142391836,-1.612086514903903,-1.6026586462286585,-1.388271740875862,-2.2655669191880174,-1.6732467203873098,-2.4021768583077665,-2.2885738142391836,-1.6598391867589464,-1.6501244686456629,-1.4274684203011023,-2.2655669191880174,-1.7184973367220655,-2.4021768583077665,-2.3780722142654134,-1.7049082171710388,-1.6953129684646744,-1.468333152039095,-2.2655669191880174,-1.7607919257213263,-2.4021768583077665,-2.3780722142654134,-1.7478204425218187,-1.7387236906841517,-1.5112724328181288
-1.1107858737231857,-1.3189494465878921,-1.1561193229836537,-1.1170527299177122,-1.3091906589834534,-1.3013225482178616,-1.2350452637251594,-1.1916995098375969,-1.374029868318436,-1.1656818240478755,-1.2443669857266144,-1.3582936201960087,-1.3478277818674822,-1.2709972454760585,-1.245859077482643,-1.428950866778254,-1.2395346598877344,-1.246429776562902,-1.4079337153690639,-1.3952223964856445,-1.3106798794042467,-1.5402227587021018,-1.4839707026209732,-1.3652612101086672,-1.3123192647658921,-1.4585284432689556,-1.4439803352813565,-1.3545829951497643,-2.421938654282337,-1.5394155201358384,-2.5848065137539407,-2.919747428849046,-1.5105483068991903,-1.494626072853347,-1.4032697750716827,-2.3817499389413874,-1.5956829325224906,-2.3865910271924617,-2.416496655556878,-1.564535688242389,-1.5477603990171263,-1.4574300003499943,-2.3170105925004187,-1.6532353666841317,-2.3696495896330125,-2.419092411500951,-1.621112696868206,-1.6040748167330516,-1.5179223024234612,-2.3170105925004187,-1.7125663467330272,-2.3696495896330125,-2.419092411500951,-1.680957658414702,-1.6643327253699955,-1.585778933565044,-2.3170105925004187,-1.7741110492975938,-2.3696495896330125,-2.419092411500951,-1.744713765490073,-1.7292773249897844,-1.6621193809166757
-1.0337252261345506,-1.3108399814203224,-1.155503662247817,-1.112796783729054,-1.297982606413618,-1.2755901786321577,-1.1096361695091848,-1.210707253109727,-1.3728312883527833,-1.2299439608117189,-1.2437953815778504,-1.3529398552866705,-1.3263091753397067,-1.1354621665337326,-1.4039845499985348,-1.434035722071719,-1.3152353884294137,-1.2787196104030143,-1.4078113271230162,-1.3774211263328149,-1.1642395346977548,-1.575263483941417,-1.4935860624344313,-1.370065124969271,-1.3163843950680045,-1.4620641498613927,-1.428550560163774,-1.1960556001772917,-2.2691369762739537,-1.5510082173083568,-2.480600112508967,-2.7249286147559713,-1.5154753199265432,-1.4795854525191903,-1.2310842234083932,-2.35713776108167,-1.6061561729099172,-2.3323424636410084,-2.3558670964254627,-1.568071175902844,-1.5306250604345848,-1.2696080031961887,-2.35713776108167,-1.659116594586323,-2.371067966047246,-2.370121110158174,-1.6200498427982366,-1.581915821735796,-1.3120374068765521,-2.35713776108167,-1.7101152287244799,-2.3618566927425553,-2.376863146875539,-1.6717102767836052,-1.6337945542743841,-1.3589345616786068,-2.35713776108167,-1.759439037717239,-2.3618566927425553,-2.3578033492845676,-1.7233955172238729,-1.6866439763709329,-1.4110458445335143
-1.429066755206857,-1.4202084114269387,-1.4059667809962193,-1.383650482940215,-1.3498911539408167,-1.301808734423116,-1.0110701528183723,-1.476188861597285,-1.4656804310743285,-1.4493496631208251,-1.4243461294816613,-1.3871411928114241,-1.334792003271077,-1.0306862752948933,-1.522741283107437,-1.5108129226984424,-1.4926719136232398,-1.4653158278537566,-1.4250500174392955,-1.368835556292754,-1.0527716521849775,-1.5686736603459162,-1.55557624466825,-1.5359293971028283,-1.5065873455747008,-1.4636845957585998,-1.4040509945400306,-1.0775332840475675,-1.6140045895341444,-1.6000042577890268,-1.5791755321636665,-1.548239959483686,-1.5031582066144256,-1.4405933148551764,-1.1052289982562737,-1.6588337216860403,-1.6442081475895691,-1.6225371678886003,-1.5904227868130638,-1.5436516613364035,-1.4786853936177045,-1.136208467847948,-1.7033591132222217,-1.6883969115377155,-1.6662388231943992,-1.6333835413530449,-1.5854474240872418,-1.5186581818414826,-1.1709802513686307,-1.7479074834235269,-1.7329124704822096,-1.7106437075203471,-1.677516855527465,-1.6289869076996062,-1.561018570346464,-1.2103257458313181,-1.7929802359536404,-1.7782827898935125,-1.7563157466158261,-1.7234377622449406,-1.6749587773449772,-1.6065562367158308,-1.2554898859756622
-1.1232211687161024,-1.3178238738517314,-1.3216004567149797,-1.3239834333099243,-1.3244794324520803,-1.3226656002185373,-1.2950107257710135,-1.2126629239515547,-1.3802683466034618,-1.3824372936080207,-1.382982979328695,-1.3814140665782864,-1.3773629866667794,-1.3438542838419278,-1.3504544009021546,-1.4381640543714957,-1.4389396758814936,-1.437918081978149,-1.4346232674869763,-1.4287524591635223,-1.3923497238159916,-1.5107230585057814,-1.4915141949448394,-1.4911503152659564,-1.4888726572984838,-1.4842315522222747,-1.4769944687416783,-1.440508921269642,-2.1387639318873677,-1.54072612109301,-1.5394968109404596,-1.5362931517326113,-1.5307005485831613,-1.522558820893791,-1.488564394706524,-2.2096400705942933,-1.5864420206149665,-1.584629657971405,-1.5808356505683039,-1.5746872991304708,-1.5660963747421364,-1.5369129966365758,-2.2665327129618706,-1.629419513145413,-1.6273106358454668,-1.623263513672053,-1.6169527258390815,-1.6083597860788328,-1.586087258086409,-2.2665327129618706,-1.6704585923128452,-1.6683466180865139,-1.66438909964896,-1.6583123096162766,-1.650163930372419,-1.6367433259482342,-2.2665327129618706,-1.7103533050463573,-1.7085464285398997,-1.7050364417096266,-1.6996051382809236,-1.692361567432738,-1.6896402621833422
