,LSTM-GAN,TCN-GAN
MSE,0.5933793108951436,3781280.600814991
MAE,0.5760962975015317,699.3037571417065
Wasserstein,0.38322033369331243,698.2930944089087
KL Divergence,0.8503425203231433,0.4411696546629649
JS Divergence,0.24198888382361083,0.1431382465561893
ACF MSE,,
Cross-Correlation MSE,0.44291804908504573,1.0140368602335632
Volatility ACF MSE,,
Arbitrage Violation Rate,0.9615384615384616,0.5961538461538461
