date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2024-01-02,16543.939453125,13250.0,0.8,30,0.0821917808219178,2.62,0.22807039244789504,12.0,put
2024-01-02,16543.939453125,13250.0,0.8,60,0.1643835616438356,26.3,0.2269986920770573,1.0,put
2024-01-02,16543.939453125,13250.0,0.8,90,0.2465753424657534,26.3,0.2260363630145501,1.0,put
2024-01-02,16543.939453125,13250.0,0.8,120,0.3287671232876712,56.25,0.2252323359759272,2.0,put
2024-01-02,16543.939453125,13250.0,0.8,150,0.410958904109589,81.06,0.22464162685903774,21.0,put
2024-01-02,16543.939453125,13250.0,0.8,180,0.4931506849315068,152.1,0.26208255192588253,1.0,put
2024-01-02,16543.939453125,13250.0,0.8,360,0.9863013698630136,235.0,0.28822647583309996,1.0,put
2024-01-02,16543.939453125,14025.0,0.85,30,0.0821917808219178,4.8,0.21776456273363834,4.0,put
2024-01-02,16543.939453125,14025.0,0.85,60,0.1643835616438356,45.2,0.2172537690380985,3.0,put
2024-01-02,16543.939453125,14025.0,0.85,90,0.2465753424657534,45.2,0.21686345268611795,3.0,put
2024-01-02,16543.939453125,14025.0,0.85,120,0.3287671232876712,86.95,0.2166299945487371,1.0,put
2024-01-02,16543.939453125,14025.0,0.85,150,0.410958904109589,129.6,0.21659400287955563,2.0,put
2024-01-02,16543.939453125,14025.0,0.85,180,0.4931506849315068,181.8,0.24913887137288782,1.0,put
2024-01-02,16543.939453125,14025.0,0.85,360,0.9863013698630136,414.32,0.25514112022552227,1.0,put
2024-01-02,16543.939453125,14900.0,0.9,30,0.0821917808219178,8.1,0.20932388244007108,6.0,put
2024-01-02,16543.939453125,14900.0,0.9,60,0.1643835616438356,91.8,0.20925783005692025,6.0,put
2024-01-02,16543.939453125,14900.0,0.9,90,0.2465753424657534,91.8,0.20931905478019885,6.0,put
2024-01-02,16543.939453125,14900.0,0.9,120,0.3287671232876712,166.4,0.2095338752762665,1.0,put
2024-01-02,16543.939453125,14900.0,0.9,150,0.410958904109589,129.6,0.20993160384065215,2.0,put
2024-01-02,16543.939453125,14900.0,0.9,180,0.4931506849315068,298.3,0.22820822607971925,2.0,put
2024-01-02,16543.939453125,14900.0,0.9,360,0.9863013698630136,605.1,0.24584345370900992,1.0,put
2024-01-02,16543.939453125,15725.0,0.95,30,0.0821917808219178,26.7,0.20239680059651907,1.0,put
2024-01-02,16543.939453125,15725.0,0.95,60,0.1643835616438356,191.0,0.20267078294366808,1.0,put
2024-01-02,16543.939453125,15725.0,0.95,90,0.2465753424657534,191.0,0.2030759396548585,1.0,put
2024-01-02,16543.939453125,15725.0,0.95,120,0.3287671232876712,269.85,0.2036307805949798,1.0,put
2024-01-02,16543.939453125,15725.0,0.95,150,0.410958904109589,582.7,0.20435602483249246,3.0,put
