date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2023-01-03,10862.6396484375,11950.0,1.1,60,0.1643835616438356,129.0,0.280632547336465,126.0,call
2023-01-03,10862.6396484375,11950.0,1.1,90,0.2465753424657534,129.0,0.28025388869815765,126.0,call
2023-01-03,10862.6396484375,11950.0,1.1,120,0.3287671232876712,236.38,0.2799505229109101,2.0,call
2023-01-03,10862.6396484375,11950.0,1.1,150,0.410958904109589,308.2,0.2797273874602074,3.0,call
2023-01-03,10862.6396484375,11950.0,1.1,180,0.4931506849315068,382.0,0.27958706101598496,2.0,call
2023-01-03,10862.6396484375,11950.0,1.1,360,0.9863013698630136,835.13,0.26947129160547734,1.0,call
2023-01-03,10862.6396484375,12500.0,1.15,30,0.0821917808219178,2.27,0.2776763589919834,8.0,call
2023-01-03,10862.6396484375,12500.0,1.15,60,0.1643835616438356,53.6,0.2771200625610225,2.0,call
2023-01-03,10862.6396484375,12500.0,1.15,90,0.2465753424657534,53.6,0.2766417691993054,2.0,call
2023-01-03,10862.6396484375,12500.0,1.15,120,0.3287671232876712,115.35,0.27624991549610345,2.0,call
2023-01-03,10862.6396484375,12500.0,1.15,150,0.410958904109589,308.2,0.2759512021022679,3.0,call
2023-01-03,10862.6396484375,12500.0,1.15,180,0.4931506849315068,214.21,0.275749883690226,1.0,call
2023-01-03,10862.6396484375,12500.0,1.15,360,0.9863013698630136,835.13,0.26947129160547734,1.0,call
2023-01-03,10862.6396484375,13025.0,1.2,30,0.0821917808219178,0.4,0.2748338886815942,1.0,call
2023-01-03,10862.6396484375,13025.0,1.2,60,0.1643835616438356,24.0,0.274122052426161,2.0,call
2023-01-03,10862.6396484375,13025.0,1.2,90,0.2465753424657534,24.0,0.2734981686676524,2.0,call
2023-01-03,10862.6396484375,13025.0,1.2,120,0.3287671232876712,56.8,0.2729728569851944,1.0,call
2023-01-03,10862.6396484375,13025.0,1.2,150,0.410958904109589,79.7,0.27255502162401457,1.0,call
2023-01-03,10862.6396484375,13025.0,1.2,180,0.4931506849315068,185.0,0.2722510546881004,1.0,call
2023-01-03,10862.6396484375,13025.0,1.2,360,0.9863013698630136,835.13,0.26947129160547734,1.0,call
