,LSTM-GAN
MSE,0.20405596575017793
MAE,0.20405596575017793
Wasserstein,0.368814758214775
KL Divergence,5.285286660246777
JS Divergence,0.32914042166315904
ACF MSE,0.2052658436565483
Cross-Correlation MSE,0.020826508197294317
Volatility ACF MSE,0.017146019875255887
Arbitrage Violation Rate,
