date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2015-11-02,4703.919921875,3775.0,0.8,30,0.0821917808219178,2.2,0.31328127044986337,11.0,put
2015-11-02,4703.919921875,3775.0,0.8,60,0.1643835616438356,4.5,0.31155820493644815,10.0,put
2015-11-02,4703.919921875,3775.0,0.8,90,0.2465753424657534,9.4,0.3100005742103208,2.0,put
2015-11-02,4703.919921875,3775.0,0.8,120,0.3287671232876712,28.5,0.3087003429716001,2.0,put
2015-11-02,4703.919921875,3775.0,0.8,150,0.410958904109589,28.5,0.30778358451396415,2.0,put
2015-11-02,4703.919921875,3775.0,0.8,180,0.4931506849315068,28.5,0.3074102698912041,2.0,put
2015-11-02,4703.919921875,3775.0,0.8,360,0.9863013698630136,222.25,0.32322461871170516,1.0,put
2015-11-02,4703.919921875,4000.0,0.85,30,0.0821917808219178,3.6,0.28974126597209954,56.0,put
2015-11-02,4703.919921875,4000.0,0.85,60,0.1643835616438356,7.55,0.2887870249059364,30.0,put
2015-11-02,4703.919921875,4000.0,0.85,90,0.2465753424657534,20.64,0.28813352076744386,4.0,put
2015-11-02,4703.919921875,4000.0,0.85,120,0.3287671232876712,52.8,0.28790804963318334,1.0,put
2015-11-02,4703.919921875,4000.0,0.85,150,0.410958904109589,52.8,0.28827416266381095,1.0,put
2015-11-02,4703.919921875,4000.0,0.85,180,0.4931506849315068,52.8,0.2894240660677924,1.0,put
2015-11-02,4703.919921875,4000.0,0.85,360,0.9863013698630136,222.25,0.3174249686506683,1.0,put
2015-11-02,4703.919921875,4225.0,0.9,30,0.0821917808219178,10.8,0.26865222433129343,24.0,put
2015-11-02,4703.919921875,4225.0,0.9,60,0.1643835616438356,15.69,0.2683353044846684,5.0,put
2015-11-02,4703.919921875,4225.0,0.9,90,0.2465753424657534,39.7,0.2684304853178338,1.0,put
2015-11-02,4703.919921875,4225.0,0.9,120,0.3287671232876712,76.3,0.26909582042824837,2.0,put
2015-11-02,4703.919921875,4225.0,0.9,150,0.410958904109589,76.3,0.27052908331155706,2.0,put
2015-11-02,4703.919921875,4225.0,0.9,180,0.4931506849315068,76.3,0.27295497395330615,2.0,put
2015-11-02,4703.919921875,4225.0,0.9,360,0.9863013698630136,222.25,0.3118039039968971,1.0,put
2015-11-02,4703.919921875,4470.0,0.95,30,0.0821917808219178,24.51,0.2500223828820108,2.0,put
2015-11-02,4703.919921875,4470.0,0.95,60,0.1643835616438356,47.56,0.250208065642189,2.0,put
2015-11-02,4703.919921875,4470.0,0.95,90,0.2465753424657534,66.12,0.2508928172981137,7.0,put
2015-11-02,4703.919921875,4470.0,0.95,120,0.3287671232876712,125.8,0.25226050311773607,20.0,put
2015-11-02,4703.919921875,4470.0,0.95,150,0.410958904109589,125.8,0.2545392648011104,20.0,put
2015-11-02,4703.919921875,4470.0,0.95,180,0.4931506849315068,125.8,0.25798573238403655,20.0,put
2015-11-02,4703.919921875,4470.0,0.95,360,0.9863013698630136,270.13,0.30626556926017434,1.0,put
2015-11-02,4703.919921875,4700.0,1.0,30,0.0821917808219178,71.27,0.23363628106074227,10.0,put
2015-11-02,4703.919921875,4700.0,1.0,60,0.1643835616438356,101.48,0.23419751433322197,1.0,put
2015-11-02,4703.919921875,4700.0,1.0,90,0.2465753424657534,135.13,0.23532159171973369,1.0,put
2015-11-02,4703.919921875,4700.0,1.0,120,0.3287671232876712,125.8,0.23721316980447263,20.0,put
2015-11-02,4703.919921875,4700.0,1.0,150,0.410958904109589,125.8,0.24012651007799557,20.0,put
2015-11-02,4703.919921875,4700.0,1.0,180,0.4931506849315068,125.8,0.2443487465803232,20.0,put
2015-11-02,4703.919921875,4700.0,1.0,360,0.9863013698630136,270.13,0.3006703835942285,1.0,put
2015-11-02,4703.919921875,4950.0,1.05,30,0.0821917808219178,7.2,0.21917307523121193,25.0,call
2015-11-02,4703.919921875,4950.0,1.05,60,0.1643835616438356,9.55,0.21999577160488615,57.0,call
2015-11-02,4703.919921875,4950.0,1.05,90,0.2465753424657534,30.25,0.22142383796527312,1.0,call
2015-11-02,4703.919921875,4950.0,1.05,120,0.3287671232876712,65.7,0.22367776442783444,2.0,call
2015-11-02,4703.919921875,4950.0,1.05,150,0.410958904109589,65.7,0.22703338191667952,2.0,call
2015-11-02,4703.919921875,4950.0,1.05,180,0.4931506849315068,65.7,0.23180600139648394,2.0,call
2015-11-02,4703.919921875,4950.0,1.05,360,0.9863013698630136,209.48,0.29485156871897616,10.0,call
2015-11-02,4703.919921875,5150.0,1.1,30,0.0821917808219178,7.2,0.20629373681315377,25.0,call
2015-11-02,4703.919921875,5150.0,1.1,60,0.1643835616438356,1.45,0.20727817874936352,3.0,call
