,LSTM-GAN,TCN-GAN
MSE,0.03561850486681573,0.19813066907396898
MAE,0.14476220491849578,0.33631465223732004
Wasserstein,0.06945382229228059,0.24943939178617675
KL Divergence,0.6554412156471758,1.1401972761477976
JS Divergence,0.18714318520439374,0.31800185142230825
ACF MSE,,
Cross-Correlation MSE,0.4268083739565657,0.41568012146745736
Volatility ACF MSE,,
Arbitrage Violation Rate,1.0,0.99375
